ip_dst,ip_len,ip_proto,ip_src,ip_time,ip_ttl,tcp_dport,tcp_flag,tcp_sport
192.168.2.201,52,6,192.168.2.100,1524372636.609502,64,23,A,40502
192.168.2.201,72,6,192.168.2.100,1524372636.609873,64,23,PA,40502
192.168.2.100,54,6,192.168.2.201,1524372636.61023,64,40502,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.610521,64,23,A,40502
192.168.2.100,54,6,192.168.2.201,1524372636.61084,64,40502,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.611195,64,23,A,40502
192.168.2.100,67,6,192.168.2.201,1524372636.611441,64,40502,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.6118,64,23,A,40502
192.168.2.100,54,6,192.168.2.201,1524372636.612045,64,40502,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.612419,64,23,A,40502
192.168.2.100,68,6,192.168.2.201,1524372636.612733,64,40502,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.613016,64,23,A,40502
192.168.2.201,52,6,192.168.2.100,1524372636.613333,64,23,FA,40502
192.168.2.100,52,6,192.168.2.201,1524372636.613685,64,40502,FA,23
192.168.2.201,52,6,192.168.2.100,1524372636.613948,64,23,A,40502
192.168.2.201,60,6,192.168.2.100,1524372636.614651,64,23,S,57663
192.168.2.100,60,6,192.168.2.201,1524372636.614935,64,57663,SA,23
192.168.2.201,52,6,192.168.2.100,1524372636.615266,64,23,A,57663
192.168.2.100,60,6,192.168.2.201,1524372636.615517,64,113,S,35265
192.168.2.201,40,6,192.168.2.100,1524372636.615835,64,35265,RA,113
192.168.2.100,64,6,192.168.2.201,1524372636.617275,64,57663,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.617704,64,23,A,57663
192.168.2.201,55,6,192.168.2.100,1524372636.618203,64,23,PA,57663
192.168.2.100,52,6,192.168.2.201,1524372636.618867,64,57663,A,23
192.168.2.201,61,6,192.168.2.100,1524372636.619173,64,23,PA,57663
192.168.2.100,52,6,192.168.2.201,1524372636.619458,64,57663,A,23
192.168.2.100,67,6,192.168.2.201,1524372636.619922,64,57663,PA,23
192.168.2.201,55,6,192.168.2.100,1524372636.620299,64,23,PA,57663
192.168.2.100,52,6,192.168.2.201,1524372636.62068,64,57663,A,23
192.168.2.201,73,6,192.168.2.100,1524372636.621231,64,23,PA,57663
192.168.2.100,52,6,192.168.2.201,1524372636.621731,64,57663,A,23
192.168.2.100,55,6,192.168.2.201,1524372636.621998,64,57663,PA,23
192.168.2.201,55,6,192.168.2.100,1524372636.622341,64,23,PA,57663
192.168.2.100,121,6,192.168.2.201,1524372636.622669,64,57663,PA,23
192.168.2.201,56,6,192.168.2.100,1524372636.62296,64,23,PA,57663
192.168.2.100,56,6,192.168.2.201,1524372636.623347,64,57663,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.623835,64,23,A,57663
192.168.2.201,54,6,192.168.2.100,1524372636.624127,64,23,PA,57663
192.168.2.100,54,6,192.168.2.201,1524372636.624515,64,57663,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.624869,64,23,A,57663
192.168.2.100,62,6,192.168.2.201,1524372636.625203,64,57663,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.625504,64,23,A,57663
192.168.2.201,56,6,192.168.2.100,1524372636.625831,64,23,PA,57663
192.168.2.100,52,6,192.168.2.201,1524372636.626202,64,57663,A,23
192.168.2.201,54,6,192.168.2.100,1524372636.626467,64,23,PA,57663
192.168.2.100,52,6,192.168.2.201,1524372636.626814,64,57663,A,23
192.168.2.100,54,6,192.168.2.201,1524372636.627054,64,57663,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.627475,64,23,A,57663
192.168.2.100,123,6,192.168.2.201,1524372636.627792,64,57663,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.628072,64,23,A,57663
192.168.2.201,60,6,192.168.2.100,1524372636.628421,64,23,PA,57663
192.168.2.100,60,6,192.168.2.201,1524372636.628827,64,57663,PA,23
192.168.2.201,63,6,192.168.2.100,1524372636.629188,64,23,PA,57663
192.168.2.100,63,6,192.168.2.201,1524372636.629471,64,57663,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.629839,64,23,A,57663
192.168.2.100,95,6,192.168.2.201,1524372636.630086,64,57663,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.630442,64,23,A,57663
192.168.2.201,72,6,192.168.2.100,1524372636.630742,64,23,PA,57663
192.168.2.100,53,6,192.168.2.201,1524372636.631025,64,57663,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.631398,64,23,A,57663
192.168.2.100,1042,6,192.168.2.201,1524372636.631715,64,57663,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.632005,64,23,A,57663
192.168.2.201,52,6,192.168.2.100,1524372636.632344,64,23,FA,57663
192.168.2.100,52,6,192.168.2.201,1524372636.63259,64,57663,FA,23
192.168.2.201,52,6,192.168.2.100,1524372636.63299,64,23,A,57663
192.168.2.201,60,6,192.168.2.100,1524372636.633751,64,23,S,60620
192.168.2.100,60,6,192.168.2.201,1524372636.634041,64,60620,SA,23
192.168.2.201,52,6,192.168.2.100,1524372636.634398,64,23,A,60620
192.168.2.100,60,6,192.168.2.201,1524372636.634698,64,113,S,50446
192.168.2.201,40,6,192.168.2.100,1524372636.634962,64,50446,RA,113
192.168.2.100,64,6,192.168.2.201,1524372636.636439,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.636801,64,23,A,60620
192.168.2.201,55,6,192.168.2.100,1524372636.637047,64,23,PA,60620
192.168.2.100,52,6,192.168.2.201,1524372636.637824,64,60620,A,23
192.168.2.201,61,6,192.168.2.100,1524372636.638089,64,23,PA,60620
192.168.2.100,52,6,192.168.2.201,1524372636.63847,64,60620,A,23
192.168.2.100,67,6,192.168.2.201,1524372636.63887,64,60620,PA,23
192.168.2.201,55,6,192.168.2.100,1524372636.639247,64,23,PA,60620
192.168.2.100,52,6,192.168.2.201,1524372636.639635,64,60620,A,23
192.168.2.201,73,6,192.168.2.100,1524372636.639979,64,23,PA,60620
192.168.2.100,52,6,192.168.2.201,1524372636.640402,64,60620,A,23
192.168.2.100,55,6,192.168.2.201,1524372636.640721,64,60620,PA,23
192.168.2.201,55,6,192.168.2.100,1524372636.641012,64,23,PA,60620
192.168.2.100,121,6,192.168.2.201,1524372636.641363,64,60620,PA,23
192.168.2.201,56,6,192.168.2.100,1524372636.641751,64,23,PA,60620
192.168.2.100,56,6,192.168.2.201,1524372636.642051,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.642403,64,23,A,60620
192.168.2.201,54,6,192.168.2.100,1524372636.642656,64,23,PA,60620
192.168.2.100,54,6,192.168.2.201,1524372636.643036,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.643391,64,23,A,60620
192.168.2.100,62,6,192.168.2.201,1524372636.64372,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.644021,64,23,A,60620
192.168.2.201,56,6,192.168.2.100,1524372636.644358,64,23,PA,60620
192.168.2.100,52,6,192.168.2.201,1524372636.644737,64,60620,A,23
192.168.2.201,54,6,192.168.2.100,1524372636.645003,64,23,PA,60620
192.168.2.100,52,6,192.168.2.201,1524372636.645468,64,60620,A,23
192.168.2.100,54,6,192.168.2.201,1524372636.645799,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.646147,64,23,A,60620
192.168.2.100,123,6,192.168.2.201,1524372636.646492,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.64684,64,23,A,60620
192.168.2.201,60,6,192.168.2.100,1524372636.647081,64,23,PA,60620
192.168.2.100,60,6,192.168.2.201,1524372636.647475,64,60620,PA,23
192.168.2.201,59,6,192.168.2.100,1524372636.647833,64,23,PA,60620
192.168.2.100,59,6,192.168.2.201,1524372636.648118,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.648471,64,23,A,60620
192.168.2.100,95,6,192.168.2.201,1524372636.648849,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.649211,64,23,A,60620
192.168.2.201,72,6,192.168.2.100,1524372636.649501,64,23,PA,60620
192.168.2.100,53,6,192.168.2.201,1524372636.649855,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.650144,64,23,A,60620
192.168.2.100,1037,6,192.168.2.201,1524372636.650455,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.650793,64,23,A,60620
192.168.2.100,53,6,192.168.2.201,1524372636.651105,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.651443,64,23,A,60620
192.168.2.100,53,6,192.168.2.201,1524372636.651722,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.65202,64,23,A,60620
192.168.2.100,53,6,192.168.2.201,1524372636.652355,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.652641,64,23,A,60620
192.168.2.100,53,6,192.168.2.201,1524372636.652949,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.653309,64,23,A,60620
192.168.2.100,53,6,192.168.2.201,1524372636.653567,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.653954,64,23,A,60620
192.168.2.100,53,6,192.168.2.201,1524372636.654555,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.65498,64,23,A,60620
192.168.2.100,53,6,192.168.2.201,1524372636.655284,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.655584,64,23,A,60620
192.168.2.100,53,6,192.168.2.201,1524372636.656004,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.656356,64,23,A,60620
192.168.2.100,53,6,192.168.2.201,1524372636.656611,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.657059,64,23,A,60620
192.168.2.100,53,6,192.168.2.201,1524372636.657359,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.657649,64,23,A,60620
192.168.2.100,53,6,192.168.2.201,1524372636.658012,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.658345,64,23,A,60620
192.168.2.100,53,6,192.168.2.201,1524372636.658594,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.658967,64,23,A,60620
192.168.2.100,53,6,192.168.2.201,1524372636.659282,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.659576,64,23,A,60620
192.168.2.100,53,6,192.168.2.201,1524372636.659905,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.660255,64,23,A,60620
192.168.2.100,53,6,192.168.2.201,1524372636.660518,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.660875,64,23,A,60620
192.168.2.100,53,6,192.168.2.201,1524372636.661122,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.661495,64,23,A,60620
192.168.2.100,53,6,192.168.2.201,1524372636.661822,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.662115,64,23,A,60620
192.168.2.100,54,6,192.168.2.201,1524372636.662447,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.662881,64,23,A,60620
192.168.2.100,57,6,192.168.2.201,1524372636.663137,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.663501,64,23,A,60620
192.168.2.100,70,6,192.168.2.201,1524372636.663822,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.664121,64,23,A,60620
192.168.2.201,89,6,192.168.2.100,1524372636.66444,64,23,PA,60620
192.168.2.100,54,6,192.168.2.201,1524372636.664835,64,60620,PA,23
192.168.2.100,52,6,192.168.2.201,1524372636.665128,64,60620,A,23
192.168.2.201,52,6,192.168.2.100,1524372636.665445,64,23,A,60620
192.168.2.100,709,6,192.168.2.201,1524372636.665697,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.666099,64,23,A,60620
192.168.2.100,75,6,192.168.2.201,1524372636.666395,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.666774,64,23,A,60620
192.168.2.100,54,6,192.168.2.201,1524372636.667031,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.667363,64,23,A,60620
192.168.2.100,82,6,192.168.2.201,1524372636.667613,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.667943,64,23,A,60620
192.168.2.100,54,6,192.168.2.201,1524372636.668279,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.668584,64,23,A,60620
192.168.2.100,77,6,192.168.2.201,1524372636.668934,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.669287,64,23,A,60620
192.168.2.100,54,6,192.168.2.201,1524372636.66955,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.669903,64,23,A,60620
192.168.2.100,77,6,192.168.2.201,1524372636.670148,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.670529,64,23,A,60620
192.168.2.100,75,6,192.168.2.201,1524372636.670853,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.671157,64,23,A,60620
192.168.2.100,54,6,192.168.2.201,1524372636.671637,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.672086,64,23,A,60620
192.168.2.100,77,6,192.168.2.201,1524372636.672458,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.672866,64,23,A,60620
192.168.2.100,75,6,192.168.2.201,1524372636.673126,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.673482,64,23,A,60620
192.168.2.100,54,6,192.168.2.201,1524372636.673847,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.674168,64,23,A,60620
192.168.2.100,75,6,192.168.2.201,1524372636.674595,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.674985,64,23,A,60620
192.168.2.100,54,6,192.168.2.201,1524372636.675301,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.675634,64,23,A,60620
192.168.2.100,75,6,192.168.2.201,1524372636.675987,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.676358,64,23,A,60620
192.168.2.100,54,6,192.168.2.201,1524372636.676606,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.676997,64,23,A,60620
192.168.2.100,75,6,192.168.2.201,1524372636.677292,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.677675,64,23,A,60620
192.168.2.100,54,6,192.168.2.201,1524372636.678006,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.678349,64,23,A,60620
192.168.2.100,75,6,192.168.2.201,1524372636.678599,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.679046,64,23,A,60620
192.168.2.100,54,6,192.168.2.201,1524372636.679353,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.679642,64,23,A,60620
192.168.2.100,75,6,192.168.2.201,1524372636.679959,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.681183,64,23,A,60620
192.168.2.100,54,6,192.168.2.201,1524372636.681541,64,60620,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.681888,64,23,A,60620
